ShardsBefore	ShardsAfter	LostKeysPercent
1	1	00.00%
1	2	50.00%
1	3	66.67%
1	4	75.00%
1	5	79.99%
1	6	83.35%
1	7	85.68%
1	8	87.50%
1	9	88.85%
1	10	89.97%
2	1	50.00%
2	2	00.00%
2	3	66.65%
2	4	50.00%
2	5	80.00%
2	6	66.65%
2	7	85.73%
2	8	75.00%
2	9	88.86%
2	10	80.00%
3	1	66.67%
3	2	66.65%
3	3	00.00%
3	4	74.97%
3	5	80.04%
3	6	50.00%
3	7	85.74%
3	8	87.49%
3	9	66.64%
3	10	90.03%
4	1	75.00%
4	2	50.00%
4	3	74.97%
4	4	00.00%
4	5	80.03%
4	6	66.64%
4	7	85.71%
4	8	50.00%
4	9	88.88%
4	10	80.03%
5	1	79.99%
5	2	80.00%
5	3	80.04%
5	4	80.03%
5	5	00.00%
5	6	83.35%
5	7	85.72%
5	8	87.53%
5	9	88.86%
5	10	50.05%
6	1	83.35%
6	2	66.65%
6	3	50.00%
6	4	66.64%
6	5	83.35%
6	6	00.00%
6	7	85.66%
6	8	75.02%
6	9	66.63%
6	10	80.03%
7	1	85.68%
7	2	85.73%
7	3	85.74%
7	4	85.71%
7	5	85.72%
7	6	85.66%
7	7	00.00%
7	8	87.50%
7	9	88.85%
7	10	90.01%
8	1	87.50%
8	2	75.00%
8	3	87.49%
8	4	50.00%
8	5	87.53%
8	6	75.02%
8	7	87.50%
8	8	00.00%
8	9	88.84%
8	10	80.07%
9	1	88.85%
9	2	88.86%
9	3	66.64%
9	4	88.88%
9	5	88.86%
9	6	66.63%
9	7	88.85%
9	8	88.84%
9	9	00.00%
9	10	89.97%
10	1	89.97%
10	2	80.00%
10	3	90.03%
10	4	80.03%
10	5	50.05%
10	6	80.03%
10	7	90.01%
10	8	80.07%
10	9	89.97%
10	10	00.00%
